Name;Year;Oscar
A.P. Kaczmarek, Jan;2004;
Ahrens, Lynn;1997;
Barry, John;1985;OscarW
Barry, John;1990;OscarW
Barry, John;1992;
Beltrami, Marco;2007;
Beltrami, Marco;2009;
Bergman, Alan;1983;OscarW
Bergman, Marilyn;1983;OscarW
Bernstein, Elmer;1983;
Bernstein, Elmer;1993;
Bernstein, Elmer;2002;
Boardman, Chris;1985;
Bource, Ludovic;2011;OscarW
Bricusse, Leslie;1982;OscarW
Broughton, Bruce;1985;
Burns, Ralph;1982;
Burwell, Carter;2015;
Butler, William;2013;
Byrne, David;1987;OscarW
Calandrelli, Jorge;1985;
Conti, Bill;1983;OscarW
Corigliano, John;1980;
Corigliano, John;1999;OscarW
Crouch, Andrae;1985;
Danna, Mychael;2012;OscarW
Debney, John;2004;
Delerue, Georges;1985;
Desplat, Alexandre;2006;
Desplat, Alexandre;2008;
Desplat, Alexandre;2009;
Desplat, Alexandre;2010;
Desplat, Alexandre;2012;
Desplat, Alexandre;2013;
Desplat, Alexandre;2014;OscarW
Doyle, Patrick;1995;
Doyle, Patrick;1996;
Dudley, Anne;1997;OscarW
Dun, Tan;2000;OscarW
Elfman, Danny;1997;
Elfman, Danny;2003;
Elfman, Danny;2008;
Enrique Bacalov, Luis;1995;
Fenton, George;1982;
Fenton, George;1987;
Fenton, George;1988;
Fenton, George;1991;
Flaherty, Stephen;1997;
Giacchino, Michael;2007;
Giacchino, Michael;2009;OscarW
Glass, Philip;1997;
Glass, Philip;2002;
Glass, Philip;2006;
Goldenthal, Elliot;1994;
Goldenthal, Elliot;1996;
Goldenthal, Elliot;2002;OscarW
Goldsmith, Jerry;1982;
Goldsmith, Jerry;1983;
Goldsmith, Jerry;1986;
Goldsmith, Jerry;1992;
Goldsmith, Jerry;1997;
Goldsmith, Jerry;1998;
Gore, Michael;1980;OscarW
Gore, Michael;1983;
Grusin, Dave;1981;
Grusin, Dave;1988;OscarW
Grusin, David;1989;
Grusin, David;1990;
Grusin, Dave;1993;
Gwangwa, Jonas;1987;
Hamlisch, Marvin;1982;
Hancock, Herbie;1986;OscarW
Hayes, Jack;1985;
Hey, Jerry;1985;
Hirschfelder, David;1996;
Hirschfelder, David;1998;
Horner, James;1986;
Horner, James;1989;
Horner, James;1995;
Horner, James;1997;OscarW
Horner, James;2001;
Horner, James;2003;
Horner, James;2009;
Iglesias, Alberto;2005;
Iglesias, Alberto;2007;
Iglesias, Alberto;2011;
Isham, Mark;1992;
Jarre, Maurice;1984;OscarW
Jarre, Maurice;1985;
Jarre, Maurice;1988;
Jarre, Maurice;1990;
Jones, Quincy;1985;
Jóhannsson, Jóhann;2014;
Jóhannsson, Jóhann;2015;
Kerber, Randy;1985;
Kristofferson, Kris;1984;
Legrand, Michel;1983;OscarW
Lubbock, Jeremy;1985;
Mancini, Henry;1982;OscarW
Marianelli, Dario;2005;
Marianelli, Dario;2007;OscarW
Marianelli, Dario;2012;
Menken, Alan;1989;OscarW
Menken, Alan;1991;OscarW
Menken, Alan;1992;OscarW
Menken, Alan;1995;OscarW
Menken, Alan;1996;
Morricone, Ennio;1986;
Morricone, Ennio;1987;
Morricone, Ennio;1991;
Morricone, Ennio;2000;
Morricone, Ennio;2015;OscarW
Morris, John;1980;
Moss, Jeff;1984;
Navarrete, Javier;2006;
Newman, Randy;1981;
Newman, Randy;1984;
Newman, Randy;1990;
Newman, Thomas;1994;
Newman, Randy;1995;
Newman, Thomas;1995;
Newman, Randy;1996;
Newman, David;1997;
Newman, Randy;1998;
Newman, Thomas;1999;
Newman, Randy;2001;
Newman, Thomas;2002;
Newman, Thomas;2003;
Newman, Thomas;2004;
Newman, Thomas;2006;
Newman, Thomas;2008;
Newman, Thomas;2012;
