Name;Year;Oscar
Burstyn, Ellen;1980;
Hawn, Goldie;1980;
Hepburn, Katharine;1981;WIN
Keaton, Diane;1981;
Mason, Marsha;1981;
Rowlands, Gena;1980;
Sarandon, Susan;1981;
Spacek, Sissy;1980;WIN
Moore, Mary Tyler;1980;
Streep, Meryl;1981;
Andrews, Julie;1982;
Lange, Jessica;1982;
Spacek, Sissy;1982;
Streep, Meryl;1982;WIN
Winger, Debra;1982;
Alexander, Jane;1983;
MacLaine, Shirley;1983;WIN
Streep, Meryl;1983;
Walters, Julie;1983;
Winger, Debra;1983;
Davis, Judy;1984;
Field, Sally;1984;WIN
Lange, Jessica;1984;
Redgrave, Vanessa;1984;
Spacek, Sissy;1984;
Bancroft, Anne;1985;
Goldberg, Whoopi;1985;
Lange, Jessica;1985;
Page, Geraldine;1985;WIN
Streep, Meryl;1985;
Fonda, Jane;1986;
Matlin, Marlee;1986;WIN
Spacek, Sissy;1986;
Turner, Kathleen;1986;
Weaver, Sigourney;1986;
Cher;1987;WIN
Close, Glenn;1987;
Hunter, Holly;1987;
Kirkland, Sally;1987;
Streep, Meryl;1987;
Close, Glenn;1988;
Foster, Jodie;1988;WIN
Griffith, Melanie;1988;
Streep, Meryl;1988;
Weaver, Sigourney;1988;
Adjani, Isabelle;1989;
Collins, Pauline;1989;
Lange, Jessica;1989;
Pfeiffer, Michelle;1989;
Tandy, Jessica;1989;WIN
Bates, Kathy;1990;WIN
Huston, Anjelica;1990;
Roberts, Julia;1990;
Streep, Meryl;1990;
Woodward, Joanne;1990;
Davis, Geena;1991;
Dern, Laura;1991;
Foster, Jodie;1991;WIN
Midler, Bette;1991;
Sarandon, Susan;1991;
Deneuve, Catherine;1992;
McDonnell, Mary;1992;
Pfeiffer, Michelle;1992;
Sarandon, Susan;1992;
Thompson, Emma;1992;WIN
Bassett, Angela;1993;
Channing, Stockard;1993;
Hunter, Holly;1993;WIN
Thompson, Emma;1993;
Winger, Debra;1993;
Foster, Jodie;1994;
Lange, Jessica;1994;WIN
Richardson, Miranda;1994;
Ryder, Winona;1994;
Sarandon, Susan;1994;
Sarandon, Susan;1995;WIN
Shue, Elisabeth;1995;
Stone, Sharon;1995;
Streep, Meryl;1995;
Thompson, Emma;1995;
Blethyn, Brenda;1996;
Keaton, Diane;1996;
McDormand, Frances;1996;WIN
Thomas, Kristin Scott;1996;
Watson, Emily;1996;
Carter, Helena Bonham;1997;
Christie, Julie;1997;
Dench, Judi;1997;
Hunt, Helen;1997;WIN
Winslet, Kate;1997;
Blanchett, Cate;1998;
Montenegro, Fernanda;1998;
Paltrow, Gwyneth;1998;WIN
Streep, Meryl;1998;
Watson, Emily;1998;
Bening, Annette;1999;
McTeer, Janet;1999;
Moore, Julianne;1999;
Streep, Meryl;1999;
Swank, Hilary;1999;WIN
Allen, Joan;2000;
Binoche, Juliette;2000;
Burstyn, Ellen;2000;
Linney, Laura;2000;
Roberts, Julia;2000;WIN
Berry, Halle;2001;WIN
Dench, Judi;2001;
Kidman, Nicole;2001;
Spacek, Sissy;2001;
Zellweger, Renée;2001;
Hayek, Salma;2002;
Kidman, Nicole;2002;WIN
Lane, Diane;2002;
Moore, Julianne;2002;
Zellweger, Renée;2002;
Castle, Keisha;2003;
Keaton, Diane;2003;
Morton, Samantha;2003;
Theron, Charlize;2003;WIN
Watts, Naomi;2003;
Bening, Annette;2004;
Moreno, Catalina Sandino;2004;
Staunton, Imelda;2004;
Swank, Hilary;2004;WIN
Winslet, Kate;2004;
Dench, Judi;2005;
Huffman, Felicity;2005;
Knightley, Keira;2005;
Theron, Charlize;2005;
Witherspoon, Reese;2005;WIN
Cruz, Penélope;2006;
Dench, Judi;2006;
Mirren, Helen;2006;WIN
Streep, Meryl;2006;
Winslet, Kate;2006;
Blanchett, Cate;2007;
Christie, Julie;2007;
Cotillard, Marion;2007;WIN
Linney, Laura;2007;
Page, Ellen;2007;
Hathaway, Anne;2008;
Jolie, Angelina;2008;
Leo, Melissa;2008;
Streep, Meryl;2008;
Winslet, Kate;2008;WIN
Bullock, Sandra;2009;WIN
Mirren, Helen;2009;
Mulligan, Carey;2009;
Sidibe, Gabourey;2009;
Streep, Meryl;2009;
Bening, Annette;2010;
Kidman, Nicole;2010;
Lawrence, Jennifer;2010;
Portman, Natalie;2010;WIN
Williams, Michelle;2010;
Close, Glenn;2011;
Davis, Viola;2011;
Mara, Rooney;2011;
Streep, Meryl;2011;WIN
Williams, Michelle;2011;
Chastain, Jessica;2012;
Lawrence, Jennifer;2012;WIN
Riva, Emmanuelle;2012;
Wallis, Quvenzhané;2012;
Watts, Naomi;2012;
Adams, Amy;2013;
Blanchett, Cate;2013;WIN
Bullock, Sandra;2013;
Dench, Judi;2013;
Streep, Meryl;2013;
Cotillard, Marion;2014;
Jones, Felicity;2014;
Moore, Julianne;2014;WIN
Pike, Rosamund;2014;
Witherspoon, Reese;2014;
Blanchett, Cate;2015;
Larson, Brie;2015;WIN
Lawrence, Jennifer;2015;
Rampling, Charlotte;2015;
Ronan, Saoirse;2015;
