AID,NAME
0,'Aabed, Essam Abu'
1,'Aadahl, Erik'
2,Aakash (IV)
3,'Aalam, Steve'
4,'Aardvark Bragpuss, Fritz'
5,'Aarniokoski, Douglas'
6,'Aaron, Duke'
7,'Aaron, Jeff'
8,'Aaron, Quinton'
9,'Aarsman, Daniel'
10,'Aas, Tim'
11,'Aasen, Halvor'
12,'Aaseng, Jay'
13,'Aasland, Derek'
14,'Aba, Botond'
15,'Abad, Alan'
16,'Abad, Christopher'
17,'Abadie, Fernando'
18,'Abadie, William'
19,'Abagnale Jr., Frank'
20,'Abam, Moise'
21,'Abaou, Hammou'
22,'Abascal, Paul'
23,'Abatemarco, Tony'
24,'Abaza, Hani'
25,'Abaza, Ziad'
26,'Abbad, Rachid'
27,'Abbas, Qamar (I)'
28,'Abbas, Raed'
29,'Abbas, Waseem (IV)'
30,'Abbas, Zahra'
31,'Abbasi, Feroz'
32,'Abbasi, Masoud'
33,'Abbasi, Riz'
34,'Abbassi, Puya'
35,'Abbey, Gregory'
36,'Abbey, Tony Arunah'
37,'Abbink, Marc'
38,'Abbiw, Raymond W.'
39,'Abbott Jr., Michael'
40,'Abbott, Brendan'
41,'Abbott, Chris (VII)'
42,'Abbott, Dalton'
43,'Abbott, David (I)'
44,'Abbott, John (II)'
45,'Abbott, Joseph M.'
46,'Abbott, Steve (I)'
47,'Abboud, Ali'
48,'Abby, Joe'
49,'Abdalla, Amir'
50,'Abdalla, Khalid (I)'
51,'Abdelhak, Belmjahed'
52,'Abdelhak, Fareed'
53,'Abdelkrim, Anuar Aoulad'
54,'Abdelmalek, Akhmiss'
55,'Abdi, Barkhad'
56,'Abdirahman, Barkhad'
57,'Abdul-Jabbar, Martin'
58,'Abdullah, Haji'
59,'Abdullah, Neil Malik'
60,'Abdulov, Vitaliy'
61,'Abe, Hiro'
62,'Abe, Hiroshi (I)'
63,'Abe, Taki'
64,'Abe, Tsuyoshi (II)'
65,'Abe, Y. Hero'
66,'Abeckaser, Danny A.'
67,'Abed-Eihadi, Foad'
68,'Abel, Aquavian'
69,'Abel, Austin'
70,'Abel, Dieudonne S.'
71,'Abel, Jake'
72,'Abel, Jon'
73,'Abelanski, Lionel'
74,'Abelenda, Alejandro'
75,'Abell, Alistair'
76,'Abell, Tim (I)'
77,'Abellan, Alejandro'
78,'Aber, Christopher'
79,'Aber, Chuck'
80,'Abercrombie, Ian'
81,'Aberdein, Chris'
82,'Aberdine, Noureddine'
83,'Abernathy, Don'
84,'Abernathy, Lewis'
85,'Abernethy, Jack'
86,'Abernethy, Kevin'
87,'Abers, William'
88,'Abesamis, Americus'
89,'Abessolo, Toussaint Raphael'
90,'Abhat, Monib'
91,'Abi-Ad, Joseph'
92,'Abiew, Tyler'
93,'Abineri, John'
94,'Abineri, Sebastian'
95,'Abingdon, Stephen'
96,'Abiskaron, John'
97,'Abitbol, Marcel'
98,'Abiteboul, Michaël'
99,'Abittan, Ary'
100,'Abkarian, Simon'
101,'Ableson, Andrew'
102,'Abou-Samah, Michel ''Gish'''
103,'Aboul-Zelof, Mo'
104,'Abounouom, Ahmed'
105,'Aboutboul, Alon'
106,'Abraham, Abraham'
107,'Abraham, Cesar'
108,'Abraham, F. Murray'
109,'Abraham, Falconer'
110,'Abraham, Jake (II)'
111,'Abraham, John (IV)'
112,'Abraham, Jorge'
113,'Abraham, Ken (I)'
114,'Abraham, Ky Moni'
115,'Abraham, Marc (I)'
116,'Abraham, Paul (IV)'
117,'Abraham, Richard'
118,'Abraham, Spencer'
119,'Abraham-Kremer, Bruno'
120,'Abrahams, Charlie'
121,'Abrahams, Doug'
122,'Abrahams, Jody'
123,'Abrahams, Jon (I)'
124,'Abrahams, Joseph'
125,'Abrahams, Joseph ''Bambi'''
126,'Abrahams, Yusuf'
127,'Abrahamse, Richard'
128,'Abrahamson, Jared (I)'
129,'Abramowitz, Zack (I)'
130,'Abrams Jr., Bolden'
131,'Abrams, Aaron (I)'
132,'Abrams, Austin'
133,'Abrams, Cody'
134,'Abrams, Dave (II)'
135,'Abrams, David (II)'
136,'Abrams, Gerald W.'
137,'Abrams, Noah'
138,'Abrams, Phil (I)'
139,'Abrams, Sol'
140,'Abramson, Jan (II)'
141,'Abramushkin, Vladimir'
142,'Abrell, Brad'
