Name;Year;Oscar
Alibar, Lucy;2012;
Allen, Jay Presson;1981;
Amini, Hossein;1997;
Anderson, Hesper;1986;
Anderson, Paul Thomas;2007;
Anderson, Paul Thomas;2014;
Arata, David;2006;
Armstrong, Jesse;2009;
Arndt, Michael;2010;
Attanasio, Paul;1994;
Attanasio, Paul;1997;
Austin, Michael;1984;
Barnes, Peter;1992;
Baynham, Peter;2006;
Beaufoy, Simon;2008;OscarW
Beaufoy, Simon;2010;
Bennett, Alan;1994;
Benton, Robert;1994;
Beresford, Bruce;1980;
Berglund, Per;1987;
Bergren, Eric;1980;
Berman, Shari Springer;2003;
Bertolucci, Bernardo;1987;OscarW
Blackwell, Simon;2009;
Blake, Michael;1990;OscarW
Blomkamp, Neill;2009;
Boyens, Philippa;2001;
Boyens, Philippa;2003;OscarW
Boyle, Danny;2010;
Branagh, Kenneth;1996;
Brooks, James L.;1983;OscarW
Brännström, Brasse;1987;
Caine, Jeffrey;2005;
Carrière, Jean-Claude;1988;
Chazelle, Damien;2014;
Chervin, Stan;2011;
Clooney, George;2011;
Clowes, Daniel;2001;
Cocks, Jay;1993;
Coen, Ethan;2000;
Coen, Joel;2000;
Coen, Joel;2007;OscarW
Coen, Ethan;2007;OscarW
Coen, Joel;2010;
Coen, Ethan;2010;
Cohen, Sacha Baron;2006;
Cohen,Peter, Sacha Baron;2006;
Condon, Richard;1985;
Condon, Bill;1998;OscarW
Condon, Bill;2002;
Connaughton, Shane;1989;
Conroy, Pat;1991;
Coogan, Steve;2013;
Costa-Gavras, ;1982;OscarW
Cuarón, Alfonso;2006;
Darabont, Frank;1994;
Darabont, Frank;1999;
DeVore, Christopher;1980;
Dearden, James;1987;
Delpy, Julie;2004;
Delpy, Julie;2013;
Donoghue, Emma;2015;
Edwards, Blake;1982;
Edzard, Christine;1988;
Egoyan, Atom;1997;
Elliott, Ted;2001;
Epstein, Julius J.;1983;
Evans, Bruce A.;1986;
Faxon, Nat;2011;OscarW
Fergus, Mark;2006;
Festinger, Rob;2001;
Field, Todd;2001;
Field, Todd;2006;
Figgis, Mike;1995;
Flagg, Fannie;1991;
Fletcher, Geoffrey;2009;OscarW
Foote, Horton;1985;
Frank, Scott;1998;
Friedenberg, Richard;1992;
Fuller, Charles;1984;
Futterman, Dan;2005;
Gaghan, Stephen;2000;OscarW
Galati, Frank;1988;
George, Terry;1993;
Gideon, Raynold;1986;
Goddard, Drew;2015;
Goldman, Bo;1992;
Goldsman, Akiva;2001;OscarW
Granik, Debra;2010;
Haggis, Paul;2004;
Hall, Jason;2014;
Hallström, Lasse;1987;
Hampton, Christopher;1988;OscarW
Hampton, Christopher;2007;
Hanson, Curtis;1997;OscarW
Hardy, Jonathan;1980;
Hare, David;2002;
Hare, David;2008;
Harwood, Ronald;1983;
Harwood, Ronald;2002;OscarW
Harwood, Ronald;2007;
Hasford, Gustav;1987;
Hawke, Ethan;2004;
Hawke, Ethan;2013;
Hedges, Peter;2002;
Helgeland, Brian;1997;OscarW
Helgeland, Brian;2003;
Henkin, Hilary;1997;
Henley, Beth;1986;
Herr, Michael;1987;
Heslov, Grant;2011;
Hines, Anthony;2006;
Hodge, John;1996;
Holland, Agnieszka;1991;
Hornby, Nick;2009;
Hornby, Nick;2015;
Huston, Tony;1987;
Iannucci, Armando;2009;
Irving, John;1999;OscarW
Jackson, Peter;2001;
Jackson, Peter;2003;OscarW
Jacobs, Robert Nelson;2000;
Jhabvala, Ruth Prawer;1986;OscarW
Jhabvala, Ruth Prawer;1992;OscarW
Jhabvala, Ruth Prawer;1993;
Johnston, Becky;1991;
Jr., William Broyles;1995;
Jung, Tsai Kuo;2000;
Jönsson, Reidar;1987;
Kasdan, Lawrence;1988;
Kaufman, Philip;1988;
Kaufman, Charlie;2002;
Kaufman, Donald;2002;
Kazan, Nicholas;1990;
Kloves, Steve;2000;
Kovic, Ron;1989;
Krizan,, Kim;2004;
Kubrick, Stanley;1987;
Kushner, Tony;2005;
Kushner, Tony;2012;
Lasseter, John;2010;
Lean, David;1984;
Ling, Wang Hui;2000;
Linklater, Richard;2004;
Linklater, Richard;2013;
Logan, John;2011;
Luedtke, Kurt;1985;OscarW
Lumet, Sidney;1981;
Lynch, David;1980;
Magee, David;2004;
Magee, David;2012;
Malick, Terrence;1998;
Mamet, David;1982;
Mamet, David;1997;
Mann, Michael;1999;
Mantovani, Braulio;2003;
Marber, Patrick;2006;
Marcus, Lawrence B.;1980;
May, Elaine;1998;
Mazer, Dan;2006;
Mazursky, Paul;1989;
McCarten, Anthony;2014;
McKay, Adam;2015;OscarW
McMurtry, Larry;2005;OscarW
Medoff, Mark;1986;
Meyjes, Menno;1985;
Miller, George;1995;
Miller, Arthur;1996;
Minghella, Anthony;1996;
Minghella, Anthony;1999;
Monahan, William;2006;OscarW
Moore, Graham;2014;OscarW
Morgan, Peter;2008;
Murphy, Tab;1988;
Nagy, Phyllis;2015;
Nicholson, William;1993;
Noonan, Chris;1995;
O'Connor, Bridget;2011;
Olson, Josh;2005;
Ossana, Diana;2005;OscarW
Ostby,, Hawk;2006;
Pakula, Alan J.;1982;
Pavignano, Anna;1995;
Payne, Alexander;1999;
Payne, Alexander;2004;OscarW
Payne, Alexander;2011;OscarW
Peploe, Mark;1987;OscarW
Perrotta, Tom;2006;
Petersen, Wolfgang;1982;
Phelan, Anna Hamilton;1988;
Pileggi, Nicholas;1990;
Pinter, Harold;1981;
Pinter, Harold;1983;
Polley, Sarah;2007;
Pope, Jeff;2013;
Potter, Dennis;1981;
Price, Richard;1986;
Pulcini, Robert;2003;
Radford, Michael;1995;
Randolph, Charles;2015;OscarW
Rash, Jim;2011;OscarW
Ray, Billy;2013;
Reinert, Al;1995;
Reitman, Jason;2009;
Rickman, Tom;1980;
Ridley, John;2013;OscarW
Rivera, José;2004;
Roach, Janet;1985;
Robinson, Bruce;1984;
Robinson, Phil Alden;1989;
Roche, Tony;2009;
Rosellini, Anne;2010;
Ross, Gary;2003;
Rossio, Terry;2001;
Roth, Eric;1994;OscarW
Roth, Eric;1999;
Roth, Eric;2005;
Roth, Eric;2008;
Rush, Richard;1980;
Russell, Willy;1983;
Russell, David O.;2012;
Sargent, Alvin;1980;OscarW
Scarpelli, Furio;1995;
Scarpelli, Giacomo;1995;
Schamus, James;2000;
Schrader, Leonard;1985;
Schulman, Roger S.H.;2001;
Scorsese, Martin;1990;
Scorsese, Martin;1993;
Sexton, Timothy J.;2006;
Shaffer, Peter;1984;OscarW
Shanley, John Patrick;2008;
Sheridan, Jim;1989;
Sheridan, Jim;1993;
Simon, Roger L.;1989;
Sklar, Zachary;1991;
Smith, Scott B.;1998;
Sobieski, Carol;1991;
Sorkin, Aaron;2010;OscarW
Sorkin, Aaron;2011;
Stanton, Andrew;2010;
Stevens, David;1980;
Stewart, Donald;1982;OscarW
Stillman, Joe;2001;
Stone, Oliver;1989;
Stone, Oliver;1991;
Straughan, Peter;2011;
Swicord, Robin;2008;
Tally, Ted;1991;OscarW
Tatchell, Terri;2009;
Taylor, Jim;1999;
Taylor, Jim;2004;OscarW
Terrio, Chris;2012;OscarW
Thompson, Ernest;1981;OscarW
Thompson, Emma;1995;OscarW
Thornton, Billy Bob;1996;OscarW
Tolkin, Michael;1992;
Troisi,, Massimo;1995;
Turner, Sheldon;2009;
Uhry, Alfred;1989;OscarW
Unkrich, Lee;2010;
Vazak, P.H.;1984;
Walsh, Fran;2001;
Walsh, Fran;2003;OscarW
Weitz, Chris;2002;
Weitz, Paul;2002;
Weller, Michael;1981;
Westlake, Donald E.;1990;
Willimon, Beau;2011;
Winter, Terence;2013;
Zaillian, Steven;1990;
Zaillian, Steven;1993;OscarW
Zaillian, Steven;2011;
Zeitlin, Benh;2012;
Zwigoff, Terry;2001;
