Name;Year;Oscar
Addica, Milo;2001;
Affleck, Ben;1997;OscarW
Allen, Woody;1984;
Allen, Woody;1985;
Allen, Woody;1986;OscarW
Allen, Woody;1987;
Allen, Woody;1989;
Allen, Woody;1990;
Allen, Woody;1992;
Allen, Woody;1994;
Allen, Woody;1995;
Allen, Woody;1997;
Allen, Woody;2005;
Allen, Woody;2011;OscarW
Allen, Woody;2013;
Almodóvar, Pedro;2002;OscarW
Anderson, Paul Thomas;1997;
Anderson, Paul Thomas;1999;
Anderson, Wes;2001;
Anderson, Wes;2012;
Anderson, Wes;2014;
Andrus, Mark;1997;
Arcand, Denys;2003;
Arch, Jeff;1993;
Arlen, Alice;1983;
Arndt, Michael;2006;OscarW
Arriaga, Guillermo;2006;
Avary, Roger;1994;OscarW
Bach, Danilo;1984;
Ball, Alan;1999;OscarW
Bass, Ronald;1988;OscarW
Baumbach, Noah;2005;
Beatty, Warren;1981;
Beatty, Warren;1998;
Beaufoy, Simon;1997;
Benedek, Barbara;1983;
Benigni, Roberto;1998;
Benton, Robert;1984;OscarW
Bergman, Ingmar;1983;
Berloff, Andrea;2015;
Berloff,, Andrea;2015;
Bird, Brad;2004;
Bird, Brad;2007;
Bismuth, Pierre;2004;OscarW
Black, Dustin Lance;2008;OscarW
Blumberg, Stuart;2010;
Bo, Armando;2014;OscarW
Boal, Mark;2009;OscarW
Boal, Mark;2012;
Boorman, John;1987;
Borten, Craig;2013;
Bortnik, Aida;1985;
Boyle, Richard;1986;
Briley, John;1982;OscarW
Brooks, James L.;1987;
Brooks, James L.;1997;
Camon, Alessandro;2009;
Campion, Jane;1993;OscarW
Capobianco, Jim;2007;
Carmen,, Ronnie del;2015;
Cerami, Vincenzo;1998;
Chandor, J.C.;2011;
Charman, Matt;2015;
Cholodenko, Lisa;2010;
Cleese, John;1988;
Clooney, George;2005;
Cocks, Jay;2002;
Cody, Diablo;2007;OscarW
Coen, Ethan;1996;OscarW
Coen, Joel;1996;OscarW
Coen, Joel;2009;
Coen, Ethan;2009;
Coen, Ethan;2015;
Coen, Joel;2015;
Cohen, Joel;1995;
Cooley, Josh;2015;
Coppola, Sofia;2003;OscarW
Coppola, Roman;2012;
Cornell, John;1986;
Crichton, Charles;1988;
Crowe, Cameron;1996;
Crowe, Cameron;2000;OscarW
Cuarón, Carlos;2002;
Cuarón, Alfonso;2002;
Curtis, Richard;1994;
Damon, Matt;1997;OscarW
Docter, Pete;2008;
Docter, Pete;2009;
Docter, Pete;2015;
