MID;TITLE;YEAR
0;Kate & Leopold;2001
1;Another 48 Hrs.;1990
2;Archangel;1990
3;Back to the Future Part III;1990
4;Bird on a Wire;1990
5;Child's Play 2;1990
6;Dances with Wolves;1990
7;Darkman;1990
8;Days of Thunder;1990
9;Dick Tracy;1990
10;Die Hard 2;1990
11;Edward Scissorhands;1990
12;Fei ying gai wak;1991
13;Ghost;1990
14;The Godfather: Part III;1990
15;Hardware;1990
16;Home Alone;1990
17;The Hunt for Red October;1990
18;Haakon Haakonsen;1990
19;Kindergarten Cop;1990
20;Marked for Death;1990
21;Pacific Heights;1990
22;Predator 2;1990
23;Presumed Innocent;1990
24;Pretty Woman;1990
25;Problem Child;1990
26;The Rescuers Down Under;1990
27;Rocky V;1990
28;Teenage Mutant Ninja Turtles;1990
29;Total Recall;1990
30;Tremors;1990
31;The Addams Family;1991
32;Backdraft;1991
33;Beauty and the Beast;1991
34;Cape Fear;1991
35;City Slickers;1991
36;Double Impact;1991
37;For the Boys;1991
38;Fried Green Tomatoes;1991
39;Gojira vs. Kingu Gidorâ;1991
40;High Strung;1991
41;Hook;1991
42;Hot Shots!;1991
43;JFK;1991
44;Madonna: Truth or Dare;1991
45;Point Break;1991
46;Robin Hood: Prince of Thieves;1991
47;The Silence of the Lambs;1991
48;Sleeping with the Enemy;1991
49;Star Trek VI: The Undiscovered Country;1991
50;Terminator 2: Judgment Day;1991
51;Aladdin;1992
52;Alien³;1992
53;Bad Lieutenant;1992
54;Basic Instinct;1992
55;Batman Returns;1992
56;The Bodyguard;1992
57;Boomerang;1992
58;Dracula;1992
59;Child's Play 3;1991
60;Death Becomes Her;1992
61;Far and Away;1992
62;A Few Good Men;1992
63;Home Alone 2: Lost in New York;1992
64;Honey I Blew Up the Kid;1992
65;The Lawnmower Man;1992
66;A League of Their Own;1992
67;Lethal Weapon 3;1992
68;El mariachi;1992
69;My Cousin Vinny;1992
70;Patriot Games;1992
71;The Player;1992
72;Raising Cain;1992
73;Scent of a Woman;1992
74;The Seventh Coin;1993
75;Sister Act;1992
76;Sneakers;1992
77;Under Siege;1992
78;Unforgiven;1992
79;Universal Soldier;1992
80;Wayne's World;1992
81;Army of Darkness;1992
82;Beethoven's 2nd;1993
83;Carlito's Way;1993
84;Cliffhanger;1993
85;Cool Runnings;1993
86;Cop & ½;1993
87;Demolition Man;1993
88;Dragon: The Bruce Lee Story;1993
89;The Firm;1993
90;Fortress;1992
91;Free Willy;1993
92;The Fugitive;1993
93;Gojira VS Mekagojira;1993
94;The Good Son;1993
95;Hard Target;1993
96;Hot Shots! Part Deux;1993
97;Xi yan;1993
98;In the Line of Fire;1993
99;In the Name of the Father;1993
100;Indecent Proposal;1993
101;Jurassic Park;1993
102;Last Action Hero;1993
103;Made in America;1993
104;Mrs. Doubtfire;1993
105;Nowhere to Run;1993
106;The Pelican Brief;1993
107;A Perfect World;1993
108;Philadelphia;1993
109;Rising Sun;1993
110;Schindler's List;1993
111;Sleepless in Seattle;1993
112;Sliver;1993
113;Les visiteurs;1993
114;Ace Ventura: Pet Detective;1994
115;Baby's Day Out;1994
116;Beverly Hills Cop III;1994
117;Clear and Present Danger;1994
118;The Client;1994
119;The Crow;1994
120;Curse of the Starving Class;1994
121;Disclosure;1994
122;Dumb & Dumber;1994
123;The Flintstones;1994
124;Forrest Gump;1994
125;Four Weddings and a Funeral;1994
126;Mary Shelley's Frankenstein;1994
127;Gojira VS Supesugojira;1994
128;Highlander III: The Sorcerer;1994
129;The Hudsucker Proxy;1994
130;I Love Trouble;1994
131;Inevitable Grace;1994
132;Interview with the Vampire: The Vampire Chronicles;1994
133;Junior;1994
134;Legends of the Fall;1994
135;Lethal Seduction;1997
136;The Lion King;1994
137;The Mask;1994
138;Maverick;1994
139;Muriel's Wedding;1994
140;Nell;1994
141;The Neverending Story III;1994
142;The Next Karate Kid;1994
143;The Paper;1994
144;Il postino;1994
145;Pulp Fiction;1994
146;Reality Bites;1994
147;The River Wild;1994
148;The Santa Clause;1994
149;The Shadow;1994
150;Shallow Grave;1994
151;The Shawshank Redemption;1994
152;The Specialist;1994
153;Speed;1994
154;Star Trek: Generations;1994
155;Stargate;1994
156;Street Fighter;1994
157;Tall Tale;1995
158;Terminal Velocity;1994
159;Timecop;1994
160;True Lies;1994
161;Jui kuen II;1994
162;Wolf;1994
163;Wyatt Earp;1994
164;Ace Ventura: When Nature Calls;1995
165;Apollo 13;1995
166;Assassins;1995
167;Babe;1995
168;Bad Boys;1995
169;Batman Forever;1995
170;Before Sunrise;1995
171;Beyond Rangoon;1995
172;Braveheart;1995
173;The Bridges of Madison County;1995
174;Casino;1995
175;Casper;1995
176;Clueless;1995
177;Congo;1995
178;Crimson Tide;1995
179;Dangerous Minds;1995
180;Dead Man Walking;1995
181;Die Hard with a Vengeance;1995
182;Don Juan DeMarco;1994
183;Fair Game;1995
184;Fall Time;1995
185;First Knight;1995
186;Get Shorty;1995
187;Gojira vs. Desutoroiâ;1995
188;GoldenEye;1995
189;Heat;1995
190;Hung fan kui;1995
191;How to Make an American Quilt;1995
192;Johnny Mnemonic;1995
193;Judge Dredd;1995
194;Jumanji;1995
195;Kids;1995
196;Kôkaku Kidôtai;1995
197;Losing Isaiah;1995
198;Mighty Morphin Power Rangers: The Movie;1995
199;Money Train;1995
200;Mortal Kombat;1995
201;Mr. Holland's Opus;1995
202;The Net;1995
203;Nixon;1995
204;Outbreak;1995
205;Pocahontas;1995
206;Roommates;1995
207;Sabrina;1995
208;Se7en;1995
209;Sense and Sensibility;1995
210;Showgirls;1995
211;Species;1995
212;Sudden Death;1995
213;Tank Girl;1995
214;Toy Story;1995
215;Twelve Monkeys;1995
216;Under Siege 2: Dark Territory;1995
217;Waiting to Exhale;1995
218;Waterworld;1995
219;While You Were Sleeping;1995
220;101 Dalmatians;1996
221;The Adventures of Pinocchio;1996
222;The Birdcage;1996
223;Broken Arrow;1996
224;The Cable Guy;1996
225;Chain Reaction;1996
226;The Chamber;1996
227;City Hall;1996
228;Courage Under Fire;1996
229;The Craft;1996
230;The Crow: City of Angels;1996
231;Daylight;1996
232;DragonHeart;1996
233;Eddie;1996
234;Emma;1996
235;The English Patient;1996
236;Eraser;1996
237;Escape from L.A.;1996
238;Eskiya;1996
239;Everyone Says I Love You;1996
240;Evita;1996
241;Executive Decision;1996
242;Eye for an Eye;1996
243;Fargo;1996
244;The First Wives Club;1996
245;Fled;1996
246;The Frighteners;1996
247;From Dusk Till Dawn;1996
248;The Ghost and the Darkness;1996
249;The Glimmer Man;1996
250;The Hunchback of Notre Dame;1996
251;Independence Day;1996
252;Indian;1996
