MID;TITLE;YEAR;GENRES
1733;(500) Days of Summer;2009;Comedy,Drama,Romance,
1363;10,000 BC;2008;Drama,History,Adventure,Action,Fantasy,
635;102 Dalmatians;2000;Comedy,Adventure,Family,
2336;12 Years a Slave;2013;Drama,History,Biography,
2092;127 Hours;2010;Drama,Adventure,Biography,Thriller,
996;13 Going on 30;2004;Comedy,Romance,Fantasy,
1387;1408;2007;Horror,
1705;17 Again;2009;Comedy,Drama,Romance,Fantasy,
949;2 Fast 2 Furious;2003;Action,Thriller,Crime,
1923;2 Guns;2013;Comedy,Drama,Action,Thriller,Crime,
1480;21;2008;Drama,Biography,Crime,
2217;21 & Over;2013;Comedy,
1897;21 Jump Street;2012;Comedy,Action,Crime,
2407;22 Jump Street;2014;Comedy,Action,Crime,
1715;27 Dresses;2008;Comedy,Romance,
599;28 Days;2000;Comedy,Drama,
845;28 Days Later...;2002;Horror,
1436;28 Weeks Later;2007;Horror,Sci_Fi,
2367;3 Days to Kill;2014;Drama,Action,Thriller,
1847;3 Idiots;2009;Comedy,Drama,
1185;30 Days of Night;2007;Horror,Thriller,
1275;300;2006;War,Action,Fantasy,
1912;300: Rise of an Empire;2014;Drama,War,Action,Fantasy,
699;40 Days and 40 Nights;2002;Comedy,Romance,
1965;47 Ronin;2013;Drama,Adventure,Action,Fantasy,
1509;4: Rise of the Silver Surfer;2007;Adventure,Sci_Fi,Action,Fantasy,Thriller,
1019;50 First Dates;2004;Comedy,Romance,
1944;50/50;2011;Comedy,Drama,
2163;7 Khoon Maaf;2011;Drama,Mystery,Thriller,
868;8 Mile;2002;Drama,Music,
787;A Beautiful Mind;2001;Drama,Biography,
2094;A Better Life;2011;Drama,
1768;A Christmas Carol;2009;Drama,Animation,Family,Fantasy,
1041;A Cinderella Story;2004;Comedy,Family,Romance,
2141;A Good Day to Die Hard;2013;Action,Thriller,Crime,
2394;A Haunted House;2013;Comedy,Horror,
2492;A Haunted House 2;2014;Comedy,Horror,
1053;A Home at the End of the World;2004;Drama,Romance,
579;A Knight's Tale;2001;Adventure,Action,Romance,
773;A Man Apart;2003;Drama,Action,Thriller,Crime,
1608;A Mighty Heart;2007;Drama,History,War,Biography,Thriller,
2461;A Million Ways to Die in the West;2014;Comedy,Western,
2315;A Most Wanted Man;2014;Drama,Thriller,Crime,
1840;A Nightmare on Elm Street;2010;Horror,Mystery,Thriller,
1230;A Scanner Darkly;2006;Animation,Sci_Fi,Thriller,
938;A Sound of Thunder;2005;Horror,Adventure,Sci_Fi,Action,Thriller,
1108;AVP: Alien vs. Predator;2004;Adventure,Sci_Fi,Action,Thriller,
1544;AVPR: Aliens vs Predator - Requiem;2007;Horror,Sci_Fi,Action,Thriller,
2061;Aadhavan;2009;Action,
2075;Aayirathil Oruvan;2010;History,Adventure,Fantasy,Mystery,Thriller,
779;Abandon;2002;Drama,Romance,Mystery,Thriller,Music,
745;About Schmidt;2002;Comedy,Drama,
805;About a Boy;2002;Comedy,Drama,Romance,
2145;Abraham Lincoln: Vampire Hunter;2012;Horror,Action,Fantasy,Thriller,
1165;Accepted;2006;Comedy,
1369;Across the Universe;2007;Drama,Romance,Musical,Fantasy,
2122;Act of Valor;2012;War,Action,Thriller,
1794;Admiral;2008;Drama,History,War,Biography,
1719;Adventure Scouts;2010;Comedy,Adventure,Family,Action,Sport,Fantasy,Mystery,
2258;After Earth;2013;Adventure,Sci_Fi,Action,
1088;After the Sunset;2004;Comedy,Drama,Action,Crime,
1618;After.Life;2009;Drama,Horror,Mystery,Thriller,
916;Against the Ropes;2004;Drama,Biography,Romance,Sport,
921;Agent Cody Banks;2003;Comedy,Adventure,Family,Action,Romance,Thriller,Crime,
1846;Agora;2009;Drama,History,Adventure,Romance,
1192;Alatriste;2006;Drama,History,War,Adventure,Romance,Thriller,
2136;Albert Nobbs;2011;Drama,
2218;Alex Cross;2012;Action,Mystery,Thriller,Crime,
1026;Alexander;2004;Drama,History,War,Adventure,Biography,Action,Romance,
2210;Alexander and the Terrible, Horrible, No Good, Very Bad Day;2014;Comedy,Family,
1131;Alfie;2004;Comedy,Drama,Romance,
714;Ali;2001;Drama,Biography,Sport,
1562;Aliens in the Attic;2009;Comedy,Adventure,Sci_Fi,Family,Fantasy,
2332;All Is Lost;2013;Drama,Adventure,Action,
498;All the Pretty Horses;2000;Drama,Romance,Western,
573;Almost Famous;2000;Drama,Romance,Music,
1018;Along Came Polly;2004;Comedy,Romance,
533;Along Came a Spider;2001;Thriller,
763;America's Sweethearts;2001;Comedy,Romance,
1443;American Dreamz;2006;Comedy,Music,
1555;American Gangster;2007;Drama,Biography,Crime,
2255;American Hustle;2013;Drama,Crime,
700;American Outlaws;2001;Action,Western,
731;American Pie 2;2001;Comedy,Romance,
482;American Psycho;2000;Drama,Horror,
2139;American Reunion;2012;Comedy,
2370;American Sniper;2014;Drama,History,War,Biography,Action,Thriller,
974;American Wedding;2003;Comedy,Romance,
2138;Amour;2012;Drama,Romance,
1317;An American Haunting;2005;Horror,Mystery,Thriller,
729;An American Reunion;2003;Comedy,Drama,Romance,
1037;An Unfinished Life;2005;Drama,
1083;Anacondas: The Hunt for the Blood Orchid;2004;Horror,Adventure,Thriller,
847;Analyze That;2002;Comedy,Crime,
1891;Anchorman 2: The Legend Continues;2013;Comedy,
1047;Anchorman: The Legend of Ron Burgundy;2004;Comedy,
1588;Angels & Demons;2009;Mystery,Thriller,
890;Anger Management;2003;Comedy,
1946;Animal Kingdom;2010;Drama,Thriller,Crime,
2570;Anjaan;2014;Drama,Action,Romance,
1279;Annapolis;2006;Drama,Romance,Sport,
2266;Annie;2014;Comedy,Drama,Family,Musical,
2027;Another Year;2010;Comedy,Drama,
1484;Ant-Man;2015;Adventure,Sci_Fi,Action,
652;Antitrust;2001;Drama,Thriller,Crime,
1463;Apocalypto;2006;Drama,Adventure,Action,Thriller,
795;Arachnid;2001;Horror,Adventure,Sci_Fi,
1095;Are We There Yet?;2005;Comedy,Adventure,Family,Romance,
1736;Argo;2012;Drama,History,Thriller,
1668;Armored;2009;Action,Thriller,Crime,
966;Around the World in 80 Days;2004;Comedy,Adventure,Action,
2460;Arrambam;2013;Drama,Action,Mystery,Thriller,
1678;Arthur 3: la guerre des deux mondes;2010;Animation,Adventure,Family,Fantasy,
2024;Arthur Christmas;2011;Comedy,Drama,Animation,Family,
641;Artificial Intelligence: AI;2001;Drama,Adventure,Sci_Fi,
2130;Astérix & Obélix: Au service de sa Majesté;2012;Comedy,Adventure,Family,
718;Astérix & Obélix: Mission Cléopâtre;2002;Comedy,Adventure,Family,Fantasy,
1437;Astérix aux jeux olympiques;2008;Comedy,Adventure,Family,Fantasy,
2577;Astérix: Le domaine des dieux;2014;Comedy,Animation,Adventure,Family,
1566;Atonement;2007;Drama,War,Romance,Mystery,
1956;August: Osage County;2013;Drama,
861;Austin Powers in Goldmember;2002;Comedy,Sci_Fi,Action,Crime,
1411;Australia;2008;Drama,War,Adventure,Romance,
557;Autumn in New York;2000;Drama,
1542;Avatar;2009;Adventure,Sci_Fi,Action,Fantasy,
2436;Avengers: Age of Ultron;2015;Adventure,Sci_Fi,Action,
638;Awake;2007;Mystery,Thriller,Crime,
1524;Away from Her;2006;Drama,
2380;Baadshah;2013;Comedy,Action,
1077;Babylon A.D.;2008;Adventure,Sci_Fi,Action,Thriller,
2296;Bachelorette;2012;Comedy,Romance,
553;Bad Boys II;2003;Comedy,Action,Thriller,Crime,
819;Bad Company;2002;Comedy,Adventure,Action,Thriller,
1247;Bad News Bears;2005;Comedy,Family,Sport,
898;Bad Santa;2003;Comedy,Drama,Crime,
1929;Bad Teacher;2011;Comedy,
658;Bandits;2001;Comedy,Drama,Romance,Crime,
885;Barbershop;2002;Comedy,Drama,
997;Barbershop 2: Back in Business;2004;Comedy,Drama,
2344;Barfi!;2012;Comedy,Drama,Adventure,Romance,
759;Basic;2003;Drama,Action,Mystery,Thriller,Crime,
1325;Basic Instinct 2;2006;Drama,Mystery,Thriller,
1116;Batman Begins;2005;Adventure,Action,Fantasy,Thriller,Crime,
1879;Battle Los Angeles;2011;Sci_Fi,Action,
2083;Battle of the Year;2013;Music,
582;Battlefield Earth;2000;Adventure,Sci_Fi,Action,
1140;Be Cool;2005;Comedy,Music,Crime,
1828;Beastly;2011;Drama,Romance,Fantasy,
2360;Beasts of the Southern Wild;2012;Drama,Fantasy,
2096;Beautiful Creatures;2013;Drama,Romance,Fantasy,
1276;Becoming Jane;2007;Drama,Biography,Romance,
669;Bedazzled;2000;Comedy,Romance,Fantasy,
1692;Bedtime Stories;2008;Comedy,Family,Romance,Fantasy,
1186;Bee Movie;2007;Comedy,Animation,Adventure,Family,
1177;Bee Season;2005;Drama,
1508;Beerfest;2006;Comedy,
2381;Before Midnight;2013;Drama,Romance,
2082;Beginners;2010;Comedy,Drama,Romance,
512;Behind Enemy Lines;2001;Drama,War,Action,Thriller,
2440;Belle;2013;Drama,Romance,
2416;Belyy tigr;2012;War,Adventure,Action,Fantasy,
838;Bend It Like Beckham;2002;Comedy,Drama,Romance,Sport,
2017;Beneath Hill 60;2010;Drama,History,War,
2242;Beneath the Darkness;2011;Horror,Thriller,
818;Better Luck Tomorrow;2002;Drama,Romance,Crime,
1729;Beverly Hills Chihuahua;2008;Comedy,Drama,Adventure,Family,Romance,
1128;Bewitched;2005;Comedy,Romance,Fantasy,
1069;Beyond the Sea;2004;Drama,Biography,Musical,Music,
1767;Bienvenue chez les Ch'tis;2008;Comedy,Romance,
943;Big Fish;2003;Drama,Adventure,Fantasy,
2396;Big Hero 6;2014;Comedy,Animation,Adventure,Sci_Fi,Family,Action,
625;Big Momma's House;2000;Comedy,Action,Crime,
1297;Big Momma's House 2;2006;Comedy,Crime,
2052;Big Mommas: Like Father, Like Son;2011;Comedy,Action,Crime,
1671;Billa;2007;Action,Romance,Thriller,
715;Billy Elliot;2000;Comedy,Drama,Music,
1000;Birth;2004;Drama,Romance,Mystery,Thriller,
764;Black Hawk Down;2001;Drama,History,War,Thriller,
1429;Black Snake Moan;2006;Drama,Music,
1683;Black Swan;2010;Drama,Thriller,
1052;Blade: Trinity;2004;Horror,Adventure,Sci_Fi,Action,Fantasy,Thriller,
1370;Blades of Glory;2007;Comedy,Sport,
1785;Blended;2014;Comedy,Romance,
1651;Blonde Ambition;2007;Comedy,Romance,
1661;Blonde and Blonder;2007;Comedy,Crime,
1384;Blood Diamond;2006;Drama,Adventure,Thriller,
1159;BloodRayne;2005;Horror,Adventure,Action,Fantasy,
661;Blow;2001;Drama,Biography,Crime,
876;Blue Crush;2002;Drama,Romance,Sport,
2421;Blue Jasmine;2013;Drama,Romance,
1803;Blue Valentine;2010;Drama,Romance,
1505;Bo bui gai wak;2006;Comedy,Drama,Action,
833;Boat Trip;2002;Comedy,
899;Bobby;2006;Drama,History,
1548;Body of Lies;2008;Drama,Action,Thriller,
1206;Bolt;2008;Comedy,Animation,Adventure,Family,
1488;Bon Cop, Bad Cop;2006;Comedy,Action,Thriller,Crime,
1048;Boogeyman;2005;Drama,Horror,Mystery,Thriller,
667;Book of Shadows: Blair Witch 2;2000;Horror,Adventure,Mystery,Thriller,
1359;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;2006;Comedy,
1371;Bordertown;2006;Drama,Mystery,Thriller,Crime,
909;Bowling for Columbine;2002;Documentary,
616;Boys and Girls;2000;Comedy,Drama,Romance,
1877;Brave;2012;Comedy,Animation,Adventure,Family,Fantasy,
1663;Bride Wars;2009;Comedy,Romance,
2573;Bridge of Spies;2015;Drama,History,Biography,Thriller,
1210;Bridge to Terabithia;2007;Drama,Adventure,Family,Fantasy,
697;Bridget Jones's Diary;2001;Comedy,Drama,Romance,
930;Bridget Jones: The Edge of Reason;2004;Comedy,Drama,Romance,
618;Bring It On;2000;Comedy,Sport,
892;Bringing Down the House;2003;Comedy,
1183;Brokeback Mountain;2005;Drama,Romance,
