ID	Title	Year	Budget	Rating	Votes	Actor_Minor_0	Actor_Minor_1	Actor_Minor_2	Actor_Top_0	Actor_Top_1	Actor_Top_2	Actor_Low_0	Actor_Low_1	Actor_Low_2	Director_Low_0	Director_Low_1	Director_Low_2	Director_Top_0	Director_Top_1	Director_Top_2	Comedy	Short	Drama	Animation	News	History	War	Horror	Adventure	Sci_Fi	Biography	Documentary	Family	Action	Adult	Romance	Musical	Sport	Fantasy	Mystery	Thriller	Music	Crime	Western
290	$5 a Day (2008)	2008	0.0	6.4	2609	21	33	1	0	3	0	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	$50K and a Call Girl: A Love Story (2014)	2014	0.0	7.0	1911	4	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308	$9.99 (2008)	2008	0.0	6.7	2559	5	10	3	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
371	'71 (2014)	2014	0.0	7.2	27021	30	42	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
882	'R Xmas (2001)	2001	0.0	5.7	1022	6	48	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1185	(500) Days of Summer (2009)	2009	7500000.0	7.8	349457	21	0	57	1	5	1	0	2	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1345	(T)Raumschiff Surprise - Periode 1 (2004)	2004	9000000.0	5.3	9622	7	29	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1369	(Untitled) (2009)	2009	0.0	6.4	1783	6	14	4	0	2	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1409	+1 (2013)	2013	0.0	5.5	5814	12	37	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1867	.45 (2006)	2006	5000000.0	5.7	7161	7	10	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
1870	.com for Murder (2002)	2002	5000000.0	2.7	1957	0	16	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2051	06/05 (2004)	2004	2000000.0	6.6	1211	4	41	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2096	1 (2013)	2013	0.0	8.0	2330	0	41	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2101	1 - Nenokkadine (2014)	2014	0.0	8.7	32537	23	20	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
2105	1 1/2 Ritter - Auf der Suche nach der hinreißenden Herzelinde (2008)	2008	0.0	3.6	1836	12	34	1	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2492	10 Items or Less (2006)	2006	0.0	6.7	12418	8	17	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2616	10 Rules for Sleeping Around (2013)	2013	0.0	3.7	1905	15	68	1	0	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2674	10 Years (2011)	2011	0.0	6.1	17006	19	28	3	0	5	1	3	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2703	10,000 BC (2008)	2008	105000000.0	5.1	103798	6	2	33	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
2743	10.000 Km (2014)	2014	0.0	6.8	2026	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2781	100 Bloody Acres (2012)	2012	0.0	5.9	2384	2	8	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2805	100 Degrees Below Zero (2013)	2013	0.0	2.5	1394	6	16	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2814	100 Feet (2008)	2008	10000000.0	5.5	9944	2	6	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
2819	100 Girls (2000)	2000	0.0	5.9	17977	5	63	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2929	100 Tears (2007)	2007	75000.0	4.1	1066	3	60	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3097	100% Love (2011)	2011	0.0	6.9	1369	5	9	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3328	101 Reykjavík (2000)	2000	0.0	6.9	7984	2	72	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3357	102 Dalmatians (2000)	2000	85000000.0	4.8	24616	9	11	23	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3461	10th & Wolf (2006)	2006	8000000.0	6.4	5452	10	40	10	0	6	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
3547	11'09''01 - September 11 (2002)	2002	0.0	7.0	4737	3	54	1	0	0	0	0	0	0	5	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3552	11-11-11 (2011)	2011	0.0	4.0	10821	1	31	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
3566	11.6 (2013)	2013	0.0	5.8	1422	8	37	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3683	11:11 (2004)	2004	0.0	3.7	1162	2	17	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3692	11:14 (2003)	2003	6000000.0	7.2	36686	7	1	0	0	3	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3740	12 (2007)	2007	4000000.0	7.8	11085	5	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
