Componist;Jahr
Michael Gore;1981
Vangelis;1982
Henry Mancini;1983
John Williams;1983
Leslie Bricusse;1983
Alan Bergman;1984
Bill Conti;1984
Marilyn Bergman;1984
Michel Legrand;1984
Maurice Jarre;1985
Prince;1985
John Barry;1986
Herbie Hancock;1987
Cong Su;1988
David Byrne;1988
Ryūichi Sakamoto;1988
Dave Grusin;1989
Alan Menken;1990
John Barry;1991
Alan Menken;1992
Alan Menken;1993
John Williams;1994
Hans Zimmer;1995
Alan Menken;1996
Luis Enríquez Bacalov;1996
Stephen Schwartz;1996
Gabriel Yared;1997
Rachel Portman;1997
Anne Dudley;1998
James Horner;1998
Nicola Piovani;1999
Stephen Warbeck;1999
John Corigliano;2000
Tan Dun;2001
Howard Shore;2002
Elliot Goldenthal;2003
Howard Shore;2004
Jan A. P. Kaczmarek;2005
Gustavo Santaolalla;2006
Gustavo Santaolalla;2007
Dario Marianelli;2008
A. R. Rahman;2009
Michael Giacchino;2010
Atticus Ross;2011
Trent Reznor;2011
Ludovic Bource;2012
Mychael Danna;2013
Steven Price;2014
Alexandre Desplat;2015
Ennio Morricone;2016
